DATAFLOW,LAST UPDATE,freq,na_item,ppp_cat,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CZ,2004,5625,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CZ,2005,6251,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CZ,2006,6893,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CZ,2007,7485,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CZ,2008,8839,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CZ,2009,8426,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CZ,2010,8946,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CZ,2011,9405,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CZ,2012,9275,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CZ,2013,9129,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CZ,2014,8820,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CZ,2015,9218,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CZ,2016,9663,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CZ,2017,10533,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CZ,2018,11497,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CZ,2019,12175,
